Yves Tumor,Echolalia
Nicole Dollanganger,Curdled Milk
Julien Baker,Turn Out the Lights
Catch 22,Permanent Revolution
Triste Janero,Meet Triste Janero
Weldon Irvine,The Sisters
DJ Harrison,Stashboxxx
Piero Umiliani,La ragazza dalla pelle di luna
Cortex,Cortex Vol. 2
Mulatu Astatke,Mulatu of Ethiopia
Yusef Lateef,Suite 16
Cortex,Troupeau Bleu
Giuliano Sorgini,Lavoro E Tempo Libero
El Michels Affair,Adult Themes
Alessandro Alessandroni,Panoramic Feelings (Mellow Carefree Lounge Music)
Alan Tew,Drama Suite Part II
Alain Goraguer,La Planète Sauvage (Original Motion Picture Soundtrack)
Piero Umiliani,Il corpo
Kali Uchis,I Wish You Roses
Florence + the Machine,Morning Elvis (Live At Denver Ball Arena)
Eddie Vedder,Into The Wild (Music for the Motion Picture)
Rammstein,Remixes
Rammstein,Zeit
Burial,Nova / Moth
Gabby's World,Sank
Wednesday Campanella,YAKUSHIMA TREASURE
Yves Tumor,God Is a Circle
July Talk,Remember Never Before
Miserable,Uncontrollable
Charli XCX,Vroom Vroom EP
Pinegrove,Skylight
Queen,Sheer Heart Attack (Deluxe Remastered Version)
Café Tacvba,Re
Neutral Milk Hotel,In the Aeroplane Over the Sea
Lucy Dacus,No Burden
Dorian Electra,Flamboyant (Deluxe)
Angel Olsen,MY WOMAN
Magdalena Bay,Mercurial World
The Garages,The Ballad of Unremarkable Derrick Krueger
The Garages,DISCIPLINE
Charli XCX,Charli
Dorian Electra,My Agenda
The 1975,I like it when you sleep for you are so beautiful yet so unaware of it
Orville Peck,Summertime
Better Oblivion Community Center,Better Oblivion Community Center
Carly Rae Jepsen,E·MO·TION (deluxe)
Steven Universe,Steven Universe Vol. 1 (Original Soundtrack)
Kali Uchis,Isolation
The Weeknd,After Hours
Rhiannon Giddens,They're Calling Me Home (With Francesco Turrisi)
Tomoko Aran,浮遊空間
Hans Zimmer,The Ring/The Ring 2
Andy Stott,Faith In Strangers
Brian Eno,Ambient 2: The Plateaux Of Mirror (Remastered 2004)
Tenacious D,Tenacious D
Bleachers,Gone Now
100 gecs,1000 gecs
Disasterpeace,It Follows (Original Motion Picture Soundtrack)
Let's Eat Grandma,I'm All Ears
The Voidz,Virtue
St. Vincent,Daddy's Home
Lemon Demon,Spirit Phone
Tyler the Creator,IGOR
The xx,I See You (Deluxe)
